model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
SVM-RBF,0.881183203538885,0.021028397136902202,0.9201388888888888,0.9162884766198912
GradBoost,0.9023246757123093,0.023587540245049665,0.8958333333333334,0.8913354815610455
LogReg,0.8687848781771772,0.021080746939834246,0.8923611111111112,0.8878313178622776
RandomForest,0.890747785120283,0.01969399570597765,0.8923611111111112,0.885960341583442
KNN,0.8566218883420398,0.015518925141024044,0.8680555555555556,0.8648869648869648
DecisionTree,0.8348363101909033,0.037803280264345665,0.8611111111111112,0.8564557671313606
LDA,0.8726018839529972,0.024015004264420742,0.8576388888888888,0.8533435622043218
MLP,0.8212152658611535,0.0412951864513317,0.8576388888888888,0.8458012181731732
NaiveBayes,0.8270588001227905,0.015343564550517629,0.8402777777777778,0.838010002883156
