model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
GradBoost,0.889083272503199,0.017390097124047942,0.9027777777777778,0.8997543463457941
RandomForest,0.9000818704758731,0.006542760126143803,0.9027777777777778,0.8972470978441128
LDA,0.8892695394914186,0.007978837125674017,0.8923611111111112,0.8899505738874999
SVM-RBF,0.9125716345034807,0.023113274961962218,0.8923611111111112,0.8879280233733954
LogReg,0.9000777291960033,0.013750110725692401,0.8888888888888888,0.885831312699092
DecisionTree,0.8160857451531621,0.021077082411345423,0.8611111111111112,0.857432627442095
KNN,0.8780122098389722,0.01104121899515848,0.8576388888888888,0.8536662513442969
MLP,0.867733685638463,0.009306569412683569,0.8541666666666666,0.8464172765880545
NaiveBayes,0.8426894805671467,0.01620242301848332,0.8298611111111112,0.8260395772047574
