,precision,recall,f1-score,support
coast,0.9888888888888889,0.9888888888888889,0.9888888888888889,90.0
forest,0.9879518072289156,1.0,0.9939393939393939,82.0
highway,1.0,0.9852941176470589,0.9925925925925926,68.0
accuracy,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667
macro avg,0.9922802320392682,0.9913943355119826,0.9918069584736252,240.0
weighted avg,0.9917168674698795,0.9916666666666667,0.9916638608305275,240.0
