archivo,PSNR_noisy,PSNR_autoencoder,SSIM_noisy,SSIM_autoencoder,ENL_noisy,ENL_autoencoder,ENL_gtruth
5632_5632.tiff,19.956886,22.782995,0.7028272,0.7710513,8.186497,8.913492,8.755261
5632_7168.tiff,20.53243,23.288498,0.7209088,0.7660378,7.6921673,8.59034,8.036184
5632_4096.tiff,19.112595,23.072401,0.55090195,0.68403095,8.220361,9.146809,9.492769
