model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
SVM-RBF,0.7875280862739935,0.016447761932985337,0.8333333333333334,0.8289174273813643
RandomForest,0.7807580251724603,0.031554738447934834,0.8125,0.8112344022778548
GradBoost,0.7694392914448669,0.023498539842210807,0.78125,0.7813534752466736
MLP,0.7137594725430952,0.04353196261979374,0.7881944444444444,0.7794530768326532
LogReg,0.7625271651723695,0.031330737904370014,0.7743055555555556,0.7678281315121062
KNN,0.7333352221043201,0.017436733410330165,0.7569444444444444,0.7553704309671838
LDA,0.7551841068497824,0.02292965444759023,0.7604166666666666,0.7544495646110857
DecisionTree,0.6904700210696892,0.04768752146049371,0.7083333333333334,0.7081911174947361
NaiveBayes,0.6268334644991838,0.044755894867902137,0.65625,0.649605451167341
