archivo,PSNR_noisy,PSNR_swinir,SSIM_noisy,SSIM_swinir,ENL_noisy,ENL_swinir,ENL_gtruth
5120_0.tiff,26.457188982369303,26.7966985506694,0.9433228641351402,0.8989141710710703,0.041637138,0.051910542,0.052717935
5120_1024.tiff,19.860275937047028,21.40484452304854,0.4210354660932517,0.5043690920138735,13.804265,18.262722,31.315302
5120_10240.tiff,20.264295740028576,21.309745048184396,0.742203554751284,0.7806091164282439,6.7889643,7.514139,8.334278
5120_10752.tiff,20.072349930668327,21.24925221985539,0.6799842929961868,0.7375516900182051,6.1222396,6.9049025,8.736448
5120_11264.tiff,20.449038542471477,22.115082793038052,0.5258269101149587,0.6251283169541225,8.713431,10.82813,13.849981
5120_11776.tiff,20.398601819003005,21.96797960979319,0.6183167448218388,0.6977147550451377,6.527755,7.64142,9.693762
5120_12288.tiff,20.895457992989677,22.841107583207766,0.49786666466320756,0.6165073070093953,4.874813,5.6719623,8.55879
5120_12800.tiff,20.212911074689114,22.193743206639457,0.504570825833459,0.6049299114105595,8.464452,10.897858,16.082687
5120_13312.tiff,20.72577497885504,23.054292844858374,0.45666650242780527,0.5812873947716487,10.678371,15.373216,23.12079
5120_13824.tiff,21.151348350891013,23.703129954143115,0.4735102340818707,0.6061417989823259,9.824936,13.976209,21.807474
5120_14336.tiff,21.420377233358998,23.769093935761127,0.5035518864387512,0.6493047587121552,5.2108507,6.350491,9.519403
5120_14848.tiff,21.73820312936986,23.850746249262432,0.5851833284184947,0.7217667221641297,3.1086996,3.526293,5.18008
5120_1536.tiff,19.982993160494292,21.593841760818343,0.420481217574707,0.502003726561399,14.117402,18.591787,30.80488
5120_15360.tiff,22.52746946740334,24.953861346930086,0.5569607012637853,0.7326944160858526,2.6450078,2.9654748,4.097195
5120_15872.tiff,21.623511785451637,23.617771518184412,0.6099291980605811,0.743046229915244,3.1141891,3.4804592,4.545022
5120_16384.tiff,21.88758925274273,24.07171075210062,0.5576512124292771,0.6922527193264567,4.6637754,5.496571,6.96697
5120_16896.tiff,22.711169926342237,25.1877783458632,0.5548008326590533,0.6920775596857782,4.7133975,5.596344,6.8549976
5120_17408.tiff,22.438310041810638,24.823538624642364,0.5595965197844346,0.6733114738747709,6.9780703,8.836108,10.945074
5120_17920.tiff,22.110634606272836,24.49331203642221,0.4975874801708011,0.6177406063091911,9.674768,13.135119,17.44629
5120_18432.tiff,22.54419840925231,24.654520657856438,0.5826142733362943,0.6838165869515612,6.5010424,7.9717946,9.949435
5120_18944.tiff,23.57468346921501,25.78643438472938,0.5993635358250174,0.7281279617024187,3.845123,4.3830585,4.519024
5120_19456.tiff,22.993906635899847,24.899051422811308,0.5991571978230958,0.7224441524841451,4.1905966,4.7917247,4.9099846
5120_19968.tiff,23.84181288312266,25.93016322553815,0.6188815783006983,0.7538739559703299,3.0501103,3.411559,3.4808385
5120_2048.tiff,19.645801696642785,21.121947838927774,0.3922159450666936,0.48744579411923994,14.537439,19.316706,34.67449
5120_20480.tiff,23.527724080842862,25.575455703613073,0.594788743093643,0.7330542346250879,3.7753365,4.2977505,4.1185713
5120_20992.tiff,22.843361476574565,25.02103655006867,0.5475908296343608,0.6520492452819391,8.33791,10.741569,12.114268
5120_21504.tiff,22.84693633790406,25.34098770604398,0.48605006464168454,0.6098206779388606,12.903793,19.207071,23.219017
5120_22016.tiff,22.848154282295518,25.232952153267057,0.5033936185020775,0.6398861316638931,10.080953,13.759218,17.039452
5120_22528.tiff,22.787262210070814,25.191581935237277,0.48300241607572353,0.6319492272803688,11.620765,16.672718,23.427614
5120_23040.tiff,23.828809691667846,26.207028435663897,0.5726109359314911,0.7199135727686311,4.6800346,5.4956884,6.4085855
5120_23552.tiff,22.623447973053064,24.81774694738627,0.4893439950745491,0.6498811017806826,8.043285,10.425875,13.665512
5120_24064.tiff,22.268007695475966,24.485363588572152,0.46232848941692645,0.6194942839149975,9.52715,12.90075,16.837873
5120_24576.tiff,23.32378987445749,26.181244905821014,0.4694505131633296,0.6425720359623763,11.085805,16.262497,20.321762
5120_25088.tiff,23.494556738210015,25.39858831913697,0.5717674623965697,0.7487448035642532,3.268922,3.7437458,4.380672
5120_2560.tiff,19.761412757307607,21.118881030637915,0.49860148498383,0.5781875571801833,10.171932,12.320827,16.66024
5120_3072.tiff,19.627472261414656,20.826517401100798,0.6062214943666644,0.6677110548343936,8.750928,10.213904,11.936608
5120_3584.tiff,19.85975993796249,21.039947532591174,0.6297978186361222,0.6880129724246983,7.792711,8.948207,9.989486
5120_4096.tiff,19.260160384509774,20.19250049919258,0.6653015437612126,0.7124720131852105,6.826416,7.4747086,7.439898
5120_4608.tiff,19.816799700244694,20.715648295666572,0.7261979261696558,0.7589488133908672,7.2439075,7.880736,8.0053
5120_512.tiff,18.93585504330556,20.205181569453252,0.40465480058950454,0.48366297284268406,12.437747,15.706008,30.36852
5120_5120.tiff,19.60253559264149,20.345595007183196,0.7340951559741691,0.7620633261968622,7.745617,8.323143,7.838345
