,precision,recall,f1-score,support
airplane,0.9435483870967742,0.936,0.9397590361445783,125.0
denseresidential,0.8571428571428571,0.96,0.9056603773584906,125.0
harbor,0.990990990990991,0.88,0.9322033898305084,125.0
accuracy,0.9253333333333333,0.9253333333333333,0.9253333333333333,0.9253333333333333
macro avg,0.9305607450768741,0.9253333333333332,0.9258742677778592,375.0
weighted avg,0.9305607450768743,0.9253333333333333,0.9258742677778591,375.0
