model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
RandomForest,0.8573357841375945,0.03841946314488592,0.8819444444444444,0.8772463087870569
GradBoost,0.8499887262844007,0.031597876188558985,0.875,0.8699852840457648
SVM-RBF,0.8403407592911822,0.03586401107011528,0.8715277777777778,0.8650287192970687
LogReg,0.8336522358955568,0.034568005001150516,0.8263888888888888,0.8171062693274771
KNN,0.8225729881013004,0.03288359991681989,0.8125,0.8084207215514715
DecisionTree,0.8174159299027351,0.02002943796027195,0.8125,0.8060760667903525
LDA,0.8208442662685256,0.021916147003227575,0.8055555555555556,0.7988034946677732
MLP,0.7862415728683475,0.03738651886250009,0.8020833333333334,0.7948615553817793
NaiveBayes,0.7920841942949467,0.017450339262369382,0.7986111111111112,0.7927328709937406
