model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
SVM-RBF,0.7954182417598535,0.029343101104368406,0.8298611111111112,0.8274012169234174
LogReg,0.8051772197181144,0.019335101421392737,0.8090277777777778,0.8055114583188278
RandomForest,0.7947938765456979,0.03081193840741387,0.8020833333333334,0.7990499141768178
LDA,0.7777164577043666,0.027319251719555394,0.7986111111111112,0.7923988810064758
GradBoost,0.7995904700461384,0.023054423817120463,0.7777777777777778,0.7773424187518723
KNN,0.7724326268061434,0.041131242749180646,0.7708333333333334,0.7678517352068318
MLP,0.7732692947719826,0.020401876287365825,0.7604166666666666,0.7589046781645603
DecisionTree,0.7168935565138177,0.015166280522599062,0.7465277777777778,0.7443200558389939
NaiveBayes,0.6616747061515629,0.032347055516291925,0.6875,0.6846021868489495
