,precision,recall,f1-score,support
coast,0.9545454545454546,0.9333333333333333,0.9438202247191011,90.0
forest,0.9647058823529412,1.0,0.9820359281437125,82.0
highway,0.9402985074626866,0.9264705882352942,0.9333333333333333,68.0
accuracy,0.9541666666666667,0.9541666666666667,0.9541666666666667,0.9541666666666667
macro avg,0.9531832814536942,0.9532679738562092,0.9530631620653823,240.0
weighted avg,0.9539802990395615,0.9541666666666667,0.9539059708298758,240.0
