archivo,ecc,mse_before,mse_after,salida
2025-05-01-00_00_2025-05-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9762485238000728,485.8323385354142,481.10802336934773,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-05-01-00_00_2025-05-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-06-01-00_00_2025-06-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9806673291406364,404.44124273709485,402.1268785914366,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-06-01-00_00_2025-06-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-07-01-00_00_2025-07-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9836093144881863,359.8352995598239,358.2273392557023,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-07-01-00_00_2025-07-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-09-01-00_00_2025-09-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9836770873032737,364.70076350540216,361.5959343737495,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-09-01-00_00_2025-09-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-10-01-00_00_2025-10-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9802806577401638,477.6083950380152,472.9998508203281,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-10-01-00_00_2025-10-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-11-01-00_00_2025-11-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9765264273763302,503.09635726290514,499.1418913165266,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-11-01-00_00_2025-11-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2025-12-01-00_00_2025-12-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9735777680962514,554.2803466986795,546.8677080432172,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2025-12-01-00_00_2025-12-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2026-01-01-00_00_2026-01-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9676078183472936,629.4589195678271,622.541231372549,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2026-01-01-00_00_2026-01-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
2026-02-01-00_00_2026-02-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled.tiff,0.9679324617903154,647.9956278511405,641.6989635854342,C:\Users\Sebastian-EDU\Documents\GitHub\ComputerVisionIA\CV_GuideThree\registered\2026-02-01-00_00_2026-02-01-23_59_Sentinel-1_IW_VV_-_linear_gamma0_scaled_registered.tiff
