archivo,PSNR_noisy,PSNR_swinir,SSIM_noisy,SSIM_swinir,ENL_noisy,ENL_swinir,ENL_gtruth
0_0.tiff,37.269197748958334,39.662891888517336,0.9195443058943152,0.9812170501445295,41.06046,89.71934,217.09055
0_1024.tiff,38.493053304298314,40.540518769619936,0.9273859119396985,0.9812957084747743,76.413635,2097.686,245.99495
0_1536.tiff,38.356985613389384,40.34645176658225,0.9242520361759462,0.9804180512696057,78.04714,2356.367,214.68927
0_512.tiff,33.08124560852657,33.72895546972212,0.9259885137659153,0.9809648824142189,13.422096,17.043417,204.76315
1024_0.tiff,29.66276037928899,30.125191703062292,0.912588557978808,0.9636221013116163,0.5845555,0.6053829,0.552263
1024_1024.tiff,32.26028331489946,31.963231132547406,0.9298609111164109,0.9662796515144038,0.5167985,0.5339315,0.4820521
1024_1536.tiff,22.50043230576089,22.56014738296349,0.8465391934666725,0.8899166796202567,0.73730487,0.75454426,0.6709783
1024_512.tiff,30.16749984921793,30.25901468235476,0.9172111281231168,0.9616938740157605,0.5664913,0.58180916,0.5364436
1536_0.tiff,21.255905475221336,21.583870613413403,0.8246787616523997,0.8046522773599021,12.61173,14.483263,18.970179
1536_1024.tiff,23.67799284224915,23.694800756996788,0.8872061842736989,0.864350181404169,5.1915607,5.4096165,5.997777
1536_1536.tiff,17.57671469463114,17.65566522844512,0.7081924556457518,0.7329832779924723,0.65944594,0.6748217,0.67119104
1536_512.tiff,22.047732684216335,22.345514974059327,0.8398250096262291,0.8173240488145819,11.674637,12.989321,16.937063
512_0.tiff,37.803411954954804,40.44586909848857,0.9250357948031422,0.9828609528432106,40.087837,87.92912,153.82997
512_1024.tiff,30.72743996416413,30.954164791855234,0.9131323961476226,0.9659442169639899,9.560251,11.511205,126.70833
512_1536.tiff,35.78561947783806,36.725843678749925,0.9117715352587618,0.969834034142533,49.59558,178.05347,94.7581
512_512.tiff,38.53159189818874,40.32455319614061,0.9302518381280088,0.9801554929554508,68.5007,557.2667,167.26932
