model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
GradBoost,0.8556026667603158,0.03601901038728216,0.8680555555555556,0.8645193759918325
SVM-RBF,0.8523042392137651,0.029229280223886402,0.8680555555555556,0.861212691135992
RandomForest,0.866580043399763,0.027830489793836437,0.8576388888888888,0.8510602483404867
LogReg,0.8371651277518467,0.03195685340379687,0.8368055555555556,0.8308195181875176
KNN,0.8200814307527928,0.016653555487870227,0.8263888888888888,0.8188550120827051
LDA,0.8127930320641396,0.03192726640737988,0.8229166666666666,0.8187562189054726
DecisionTree,0.8195472343254169,0.013350612568582807,0.8159722222222222,0.8108449899050822
MLP,0.7899830467794506,0.019542023064581016,0.8159722222222222,0.8061626652205588
NaiveBayes,0.7935539554976607,0.03078584010172669,0.7951388888888888,0.7904473445027517
