,precision,recall,f1-score,support
coast,0.9139784946236559,0.9444444444444444,0.9289617486338798,90.0
forest,0.9878048780487805,0.9878048780487805,0.9878048780487805,82.0
highway,0.9384615384615385,0.8970588235294118,0.9172932330827067,68.0
accuracy,0.9458333333333333,0.9458333333333333,0.9458333333333333,0.9458333333333333
macro avg,0.9467483037113249,0.943102715340879,0.944686619921789,240.0
weighted avg,0.9461393713813069,0.9458333333333333,0.9457604051111385,240.0
