,precision,recall,f1-score,support
coast,0.9782608695652174,1.0,0.989010989010989,90.0
forest,1.0,1.0,1.0,82.0
highway,1.0,0.9705882352941176,0.9850746268656716,68.0
accuracy,0.9916666666666667,0.9916666666666667,0.9916666666666667,0.9916666666666667
macro avg,0.9927536231884058,0.9901960784313726,0.9913618719588868,240.0
weighted avg,0.9918478260869565,0.9916666666666667,0.9916502651577279,240.0
