model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
GradBoost,0.7925451934638532,0.026158019624324767,0.8229166666666666,0.8223737228658056
LogReg,0.788783220525002,0.03515772104808086,0.8194444444444444,0.816925512343302
RandomForest,0.8053380232566367,0.033565496561517555,0.8090277777777778,0.8069592239597791
SVM-RBF,0.8088509962258555,0.029524544590994885,0.7986111111111112,0.7955072183502011
LDA,0.7627449077310383,0.04213133810009922,0.7951388888888888,0.7901475307031397
KNN,0.7864329770311134,0.03102300685294417,0.7569444444444444,0.7555490253697718
MLP,0.7784733185001053,0.03891731283906094,0.75,0.74926340581513
DecisionTree,0.7142691417903874,0.0096501572019516,0.7222222222222222,0.7251262803936088
NaiveBayes,0.6743523291208798,0.030743341545483603,0.6736111111111112,0.6674004673362074
