model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
GradBoost,0.8853523278395343,0.0043068950909443795,0.8993055555555556,0.895486207642171
SVM-RBF,0.9082802841656108,0.019776718869268677,0.8993055555555556,0.8951370242509483
RandomForest,0.8870473623657478,0.018084522081678486,0.8888888888888888,0.8833326462826024
LDA,0.8785758866813904,0.022865711772946787,0.8854166666666666,0.8825792801787667
KNN,0.867363866671444,0.016973794659474382,0.8715277777777778,0.8680756953944369
LogReg,0.8866747282669699,0.01926791679499748,0.8680555555555556,0.8639011692686113
MLP,0.8313417198314864,0.015440772831610071,0.8576388888888888,0.8501476438001806
NaiveBayes,0.8362479812349017,0.016672428610845842,0.8472222222222222,0.8439294614980432
DecisionTree,0.8332043394401045,0.019007446461187693,0.8402777777777778,0.8349694225415174
