model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
SVM-RBF,0.7965941878694067,0.03985001306264094,0.8125,0.8085696965427202
RandomForest,0.7969194934177056,0.03057032372752496,0.7881944444444444,0.7862624514441752
LogReg,0.7614347735392397,0.0335500829703651,0.7777777777777778,0.7762973770296249
KNN,0.7362578279547842,0.03862248325123533,0.7604166666666666,0.7586858667325896
LDA,0.7455983308360901,0.04152486203956549,0.7569444444444444,0.7565750885950617
MLP,0.7667724830659255,0.06333696660903479,0.7534722222222222,0.7537089428600524
GradBoost,0.7790876799261216,0.022212431632168936,0.7430555555555556,0.7404480952504087
DecisionTree,0.7141358136369311,0.045516478860032114,0.7395833333333334,0.7391133819629979
NaiveBayes,0.6201609724352992,0.034108586848457474,0.6527777777777778,0.6427164261931188
