model,cv_f1_macro_mean,cv_f1_macro_std,test_accuracy,test_f1_macro
MLP,0.834090095840071,0.03186557518980472,0.9166666666666666,0.9136898107089957
GradBoost,0.8850178843315456,0.016313389704254364,0.9166666666666666,0.9127158450262142
LogReg,0.8845367491842019,0.017504775494369396,0.9027777777777778,0.9005262676290813
SVM-RBF,0.8925506376554688,0.010177784778025183,0.9027777777777778,0.8991526435135458
RandomForest,0.9076499248393943,0.017770126324003703,0.8888888888888888,0.8813626404340166
LDA,0.8846185851517717,0.023715768148013797,0.8819444444444444,0.8794314957248329
KNN,0.8715687607117577,0.028843479482017393,0.8645833333333334,0.8613845718956057
NaiveBayes,0.8298998988280737,0.0057251824185344516,0.8402777777777778,0.8372946082440379
DecisionTree,0.8060742905675454,0.026910102983641587,0.8368055555555556,0.8330397738436183
